id	front	back	tags
	Chapter 3.10 method: what is the main exercise strategy?	Recover marginals by sending coordinates to infinity, build joint laws with copulas, and prove independence or normality by multivariate characteristic functions.	chapter3,3_10,multivariate,marginals,copula,joint-characteristic-function,multivariate-normal
	Stirling method for binomial ratios	Insert Stirling's formula into factorial probabilities, simplify the polynomial prefactor, and exponentiate logarithmic expansions. Use case: Exercises in Section 3.1 involving De Moivre-Laplace or large binomial probabilities.	chapter3,calculation-template,stirling,binomial,asymptotics
	Convert rare-event products to exponentials	For products of factors 1+a_{n,k}, take logs and use log(1+x)=x+o(x) when the maximum factor is small. Use case: Birthday, occupancy, no-collision, and geometric waiting-time limits.	chapter3,limit-template,product-limit,rare-events,log-expansion
	Linear deviations require exponential-rate estimates	When deviations are of order n rather than sqrt(n), normal approximation is usually wrong; use Stirling or large-deviation rates. Use case: Binomial or random-walk tail exercises before the large-deviation chapter.	chapter3,warning,large-deviation,normal-approximation,scale
	Buffer events for weak convergence	Compare events such as {X_n <= x} with {X <= x +/- epsilon} to pass from convergence in probability to weak convergence. Use case: Exercises proving convergence in probability implies distributional convergence or converging-together results.	chapter3,proof-template,weak-convergence,epsilon-buffer,cdf
	Subsequence principle for identifying limits	Show every subsequence has a further subsequence with the same limit; then the original sequence converges. Use case: Tightness and uniqueness arguments in weak convergence exercises.	chapter3,proof-template,subsequence,tightness,uniqueness
	Tightness from tails or coercive moments	Control sup_n P(|X_n|>K) directly or use Markov's inequality on a function growing to infinity. Use case: Weak convergence compactness exercises.	chapter3,criterion,tightness,markov,moment-bound
	Converging together and Slutsky template	If a main term has a distributional limit and the error goes to zero in probability, use tightness and buffer events to keep the same limit. Use case: Exercises where a statistic is approximated by a simpler statistic.	chapter3,proof-template,slutsky,negligible-error,weak-convergence
	Characteristic-function table matching	Recognize transforms such as normal, Cauchy, gamma, Poisson, and uniform; then invoke uniqueness. Use case: Distribution identification and transform inversion exercises in Section 3.3.	chapter3,calculation-template,characteristic-functions,transform-table,uniqueness
	Extract moments from characteristic-function Taylor terms	Differentiate the characteristic function at zero or compare its Taylor expansion with 1+it EX - t^2 E X^2/2 + ... . Use case: Moment and variance calculations from transforms.	chapter3,calculation-template,moments,taylor-expansion,characteristic-functions
	Independence through characteristic-function factorization	A joint characteristic function that factors into marginal characteristic functions identifies the product law. Use case: Exercises proving independence from transforms.	chapter3,proof-template,independence,joint-law,characteristic-functions
	Use inversion to recover probabilities or densities	Apply the inversion formula in the form appropriate to densities or lattice probabilities, checking integrability when needed. Use case: Characteristic-function inversion exercises.	chapter3,calculation-template,inversion,density,lattice
	Lindeberg check by truncation	Bound the contribution of terms exceeding epsilon times the row standard deviation; bounded or uniformly small terms often make the condition immediate. Use case: Triangular-array CLT exercises.	chapter3,proof-template,lindeberg,triangular-array,truncation
	Lyapunov condition as a shortcut to Lindeberg	Verify a higher-moment bound divided by the row variance scale; Lyapunov implies Lindeberg. Use case: CLT exercises with available third or higher moments.	chapter3,criterion,lyapunov,clt,moments
	Random-index CLT template	Condition on the random index or compare it to a deterministic equivalent, then use Slutsky once the index ratio converges. Use case: Random sums and stopped-sum CLT exercises.	chapter3,proof-template,random-index,clt,slutsky
	Poisson and multinomial CLT scaling	Center counts by their means and scale by square roots of variances; dependence in multinomial vectors appears through covariance constraints. Use case: Occupancy, count-vector, and Poisson approximation CLT exercises.	chapter3,calculation-template,poisson,multinomial,normal-approximation
	Local limit versus global CLT	The CLT controls interval probabilities, while a local limit theorem controls individual lattice probabilities at the normal-density scale. Use case: Point probability approximations in Section 3.5.	chapter3,warning,local-limit,clt,lattice
	Check lattice span before using a local limit theorem	For lattice variables, the correct local approximation includes the span and only applies on reachable lattice points. Use case: Local normal approximations for sums of integer-valued variables.	chapter3,warning,lattice,span,local-limit
	Any coupling bounds total variation	For every event A, |P(X in A)-P(Y in A)| is bounded by P(X != Y), so total variation is no larger than mismatch probability. Use case: Exercise 3.6.1 and coupling estimates.	chapter3,proof-template,coupling,total-variation,mismatch
	Maximal coupling by common mass	Couple two discrete laws by first sampling from their overlap min(mu,nu), then sample residuals on disjoint supports. Use case: Sharp total variation coupling results.	chapter3,construction-template,maximal-coupling,common-mass,discrete-law
	Memoryless survival equation	The lack-of-memory property gives G(s+t)=G(s)G(t); monotonicity and right-continuity force G(t)=exp(-lambda t). Use case: Exercise 3.7.1 and exponential waiting-time characterization.	chapter3,proof-template,memoryless,exponential,survival-function
	Competing exponentials race rule	The minimum of independent exponentials has rate equal to the sum of rates, and the winning index has probability proportional to its rate. Use case: Exercises 3.7.2 and 3.7.3.	chapter3,calculation-template,exponential,minimum,race
	Infinite-server queue by Poisson thinning	Calls of age r survive with probability 1-G(r); thinning and superposition give a Poisson number in service with mean lambda integral survival. Use case: Exercise 3.7.4.	chapter3,calculation-template,poisson-thinning,queue,tail-integral
	Poisson splitting for occupancy	A Poisson number of independent categorized observations splits into independent Poisson counts in each category. Use case: Exercise 3.7.5 and birthday/occupancy computations.	chapter3,calculation-template,poisson-splitting,occupancy,independence
	Uniform spacings are Dirichlet	The gaps between ordered uniform points, including endpoints, are exchangeable Dirichlet(1,...,1) spacings. Use case: Exercises 3.7.7 through 3.7.9.	chapter3,distribution-fact,uniform-order-statistics,spacings,dirichlet
	Extreme spacings by first and second moments	Count gaps above a threshold, compute one- and two-gap probabilities from simplex volumes, and use variance control. Use case: Largest and smallest uniform spacing limits.	chapter3,proof-template,extreme-spacing,second-moment,simplex-volume
	No centering for alpha less than one stable limits	For alpha<1, small jumps are summable in absolute value under the Levy measure, so the stable limit needs no compensating centering. Use case: Exercises 3.8.1, 3.8.3, and 3.8.5.	chapter3,stable-law-fact,stable-laws,centering,alpha-less-than-one
	Borderline normal attraction has sqrt(n log n) scale	A symmetric variable with tail P(|Z|>x) like x^{-2} has infinite variance but still lies in the normal domain with a logarithmic variance correction. Use case: Exercise 3.8.2 with p=1/2.	chapter3,limit-template,normal-attraction,infinite-variance,log-correction
	Stable fractional moment and tail test	Use the integral representation of E|X|^p through 1-Re phi(t) to get finiteness for p<alpha and tail lower bounds to show E|X|^alpha diverges. Use case: Exercise 3.8.4.	chapter3,calculation-template,stable-laws,fractional-moments,tails
	Positive stable Laplace functional equation	Stability gives psi(lambda)^n=psi(n^{1/alpha}lambda); continuity turns this into psi(lambda)=exp(-c lambda^alpha). Use case: Exercise 3.8.6.	chapter3,proof-template,positive-stable,laplace-transform,functional-equation
	Stable subordination product rule	Condition on a positive beta-stable Y: E exp(it X Y^{1/alpha}) becomes the Laplace transform of Y at c|t|^alpha, giving index alpha beta. Use case: Exercise 3.8.7 and normal-ratio Cauchy derivations.	chapter3,calculation-template,subordination,stable-laws,cauchy
	Gamma infinite divisibility by shape splitting	A Gamma(a,lambda) characteristic function is the nth power of the Gamma(a/n,lambda) characteristic function. Use case: Exercise 3.9.1.	chapter3,calculation-template,gamma,infinite-divisibility,convolution
	Bounded infinitely divisible laws are degenerate	If a bounded law is an n-fold convolution, the summand support diameter is at most 1/n of the total diameter, forcing variance to zero. Use case: Exercise 3.9.2.	chapter3,proof-template,infinite-divisibility,bounded-support,variance
	Infinitely divisible characteristic functions do not vanish	Symmetrize to |phi|^2, take nth convolution roots, and use continuity near zero to contradict a zero at a fixed point. Use case: Exercise 3.9.3.	chapter3,proof-template,characteristic-functions,infinite-divisibility,nonvanishing
	Find Levy measures by matching exponents	Compare the log characteristic function with the Levy-Khinchin integral; symmetry cancels imaginary compensation terms. Use case: Exercise 3.9.4.	chapter3,calculation-template,levy-measure,levy-khinchin,symmetric-law
	Recover marginals from a joint CDF	Send all non-target coordinates to infinity and use continuity from below to recover the target coordinate's distribution function. Use case: Exercise 3.10.1.	chapter3,definition-use,marginals,joint-cdf,continuity-from-below
	FGM-type copula density check	For C(u)=prod u_i + alpha prod u_i(1-u_i), the mixed derivative is 1+alpha prod(1-2u_i), nonnegative for |alpha|<=1. Use case: Exercise 3.10.2.	chapter3,construction-template,copula,joint-distribution,density-check
	Mixed partial derivative recovers joint density	Write the CDF as an iterated integral of the density and apply the fundamental theorem of calculus successively. Use case: Exercise 3.10.3.	chapter3,calculation-template,joint-density,cdf,mixed-partial
	Joint characteristic function factorization	Independence gives product transforms; conversely, a product joint characteristic function matches the product law by uniqueness. Use case: Exercise 3.10.6.	chapter3,proof-template,independence,joint-characteristic-function,uniqueness
	Diagonal covariance gives independent normal coordinates	For a multivariate normal vector, a diagonal covariance matrix makes the characteristic function factor into one-dimensional normal transforms. Use case: Exercise 3.10.7.	chapter3,normal-law-fact,multivariate-normal,covariance,independence
	Identify multivariate normal laws by all linear combinations	If every t dot X is normal with the right mean and variance, then the joint characteristic function is the multivariate normal transform. Use case: Exercise 3.10.8.	chapter3,proof-template,cramer-wold,multivariate-normal,characteristic-functions
	Chapter 4.1 method: what is the main exercise strategy?	Compute conditional expectations by testing against the conditioning sigma-field, then use projection, Jensen, conditioning on partitions, and variance decomposition to simplify identities.	chapter4,4_1,conditional-expectation,projection,jensen,variance-decomposition
	Chapter 4.2 method: what is the main exercise strategy?	Check martingale type by conditioning one step ahead; use predictable transforms, stopped processes, upcrossing counts, and product decompositions to prove convergence or construct examples.	chapter4,4_2,martingale,predictable-transform,stopping,upcrossing,convergence
	Chapter 4.3 method: what is the main exercise strategy?	Use concrete martingale examples to isolate hypotheses: likelihood-ratio processes give martingales, additive error bounds give convergence, and branching recursions reduce to fixed-point equations.	chapter4,4_3,examples,likelihood-ratio,radon-nikodym,branching-process,counterexample
	Chapter 4.4 method: what is the main exercise strategy?	Apply optional sampling and Doob inequalities to stopped martingales; combine orthogonal increments, quadratic martingales, and Kronecker normalization for L2 and strong-law estimates.	chapter4,4_4,doob-inequality,optional-sampling,quadratic-martingale,orthogonal-increments,strong-law
	Chapter 4.6 method: what is the main exercise strategy?	Recognize when convergence is upgraded by uniform integrability; use Levy upward and zero-one laws to turn conditioning on growing sigma-fields into posterior consistency or absorbing-state conclusions.	chapter4,4_6,uniform-integrability,levy-upward,zero-one-law,posterior-consistency,bounded-martingale
	Chapter 4.7 method: what is the main exercise strategy?	Use backward martingale convergence for tail-like sigma-fields, then exploit exchangeability to replace conditional laws by finite-population hypergeometric formulas.	chapter4,4_7,backward-martingale,exchangeability,hypergeometric,u-statistic,covariance
	Chapter 4.8 method: what is the main exercise strategy?	Choose a martingale matched to the target functional, stop it at bounded levels, justify optional stopping, and pass limits to obtain hitting probabilities, Wald identities, and ruin bounds.	chapter4,4_8,optional-stopping,random-walk,wald-identity,gambler-ruin,exponential-martingale
	Chapter 4.9 method: what is the main exercise strategy?	Encode first-return decompositions as renewal equations and solve them with generating functions; singular behavior at one reveals recurrence and return-time means.	chapter4,4_9,renewal-equation,generating-functions,return-time,random-walk
	Conditional Bayes rule from indicator tests	To identify E[X | H] on a partition or sub-sigma-field, multiply by indicators of conditioning events and match integrals. Use case: Section 4.1 exercises involving conditional probabilities, finite partitions, and conditional densities.	chapter4,calculation-template,conditional-expectation,indicator-test,bayes
	Transfer pointwise inequalities through conditioning	If an inequality holds after multiplying by every nonnegative H-measurable test function, it holds for the conditional expectations. Use case: Conditional Jensen, conditional Markov bounds, and monotonicity arguments in Section 4.1.	chapter4,proof-template,conditional-expectation,inequality,test-functions
	L2 projection Pythagorean identity for conditioning	Use E[(X-E[X|H])Z]=0 for H-measurable Z to split squared errors and prove best-approximation identities. Use case: Projection and regression-style conditional expectation exercises.	chapter4,proof-template,l2-projection,orthogonality,conditional-expectation
	Random-sum variance by conditioning on the count	Condition on N to compute E[S_N | N] and Var(S_N | N), then add conditional variance plus variance of the conditional mean. Use case: Random sums and total-variance exercises in Section 4.1.	chapter4,calculation-template,random-sum,total-variance,conditioning
	Conditional expectation can preserve distribution only under rigidity	If E[X|H] has the same distribution as X and Jensen is tight for a strictly convex function, then X must already be H-measurable. Use case: Exercises where conditioning appears not to reduce randomness.	chapter4,warning,jensen,rigidity,conditional-expectation
	One-step martingale check in the natural filtration	For processes built from independent increments, reduce E[X_{n+1}|F_n] to a deterministic function of the current state and one new increment. Use case: Section 4.2 martingale, submartingale, and supermartingale verification.	chapter4,proof-template,martingale,natural-filtration,independent-increments
	Deterministic martingale-type checks reduce to monotonicity	A deterministic adapted process is a submartingale or supermartingale exactly when the underlying sequence is monotone in the corresponding direction. Use case: Exercises testing definitions on simple deterministic examples.	chapter4,calculation-template,submartingale,supermartingale,deterministic-process
	Localize upcrossing arguments by stopping at bounded levels	Stop a process before it leaves a bounded range so optional inequalities apply, then let the stopping level increase. Use case: Upcrossing and convergence exercises where integrability or boundedness needs to be restored.	chapter4,proof-template,upcrossing,stopping,localization
	Product martingales may converge to zero by logarithms	For products of independent mean-one factors, examine log factors; a negative accumulated log drift can force almost-sure convergence to zero. Use case: Multiplicative martingales and examples where mean is not preserved at the limit.	chapter4,calculation-template,product-martingale,log-transform,almost-sure-limit
	Dubins-style switching creates many upcrossings	Alternate between betting strategies active below one level and above another to convert repeated upcrossings into predictable-transform gains. Use case: Exercises connecting upcrossing inequalities with gambling interpretations.	chapter4,construction-template,upcrossing,predictable-transform,gambling
	Bounded increments alone do not make a martingale	Construct an adapted process with bounded steps but nonzero conditional drift to show martingale conclusions need a true drift condition. Use case: Section 4.3 exercises checking the exact hypotheses of martingale theorems.	chapter4,counterexample-template,counterexample,bounded-increments,conditional-drift
	Summable additive errors preserve convergence	Add the tail sum of the error sequence to a near-supermartingale to obtain a genuine supermartingale with the same limiting behavior. Use case: Almost-supermartingale convergence arguments.	chapter4,proof-template,supermartingale,summable-errors,convergence
	Partition likelihood ratios form martingales	On a refining finite partition, the ratio Q(A)/P(A) on the cell containing omega is the conditional expectation of dQ/dP. Use case: Radon-Nikodym and likelihood-ratio martingale exercises.	chapter4,calculation-template,radon-nikodym,likelihood-ratio,partition
	Bernoulli product likelihood ratios and Hellinger sums	For product Bernoulli laws, square-root likelihood overlaps factor, and convergence or singularity is controlled by a summable squared parameter distance. Use case: Exercises comparing infinite product measures.	chapter4,criterion,bernoulli-product,hellinger,absolute-continuity
	Branching extinction probabilities are fixed points	Condition on the first generation to get q = f(q), where f is the offspring generating function; choose the minimal fixed point in [0,1]. Use case: Branching-process extinction and survival exercises.	chapter4,calculation-template,branching-process,generating-function,fixed-point
	Optional sampling between two stopping times	Apply optional sampling to stopped processes at bounded approximations of S and T, then pass to limits using the available integrability control. Use case: Section 4.4 exercises with E[M_T | F_S] and S <= T.	chapter4,proof-template,optional-sampling,stopping-times,conditioning
	Doob L1 logarithmic maximal bound	Integrate the weak L1 maximal inequality over levels and split at a scale where the integral of min(1, X/lambda) is finite. Use case: Maximal estimates for nonnegative submartingales without Lp control for p>1.	chapter4,inequality-template,doob-inequality,maximal-bound,logarithmic-moment
	Quadratic martingale exit bounds	For a martingale with controlled conditional variances, stop M_n^2 minus accumulated variance at the exit time and compare with the boundary size. Use case: Exit probability and maximal L2 exercises.	chapter4,calculation-template,quadratic-martingale,exit-time,variance-bound
	Martingale increments are orthogonal in L2	For i<j, E[D_iD_j]=E[D_i E[D_j|F_{j-1}]]=0, so variances of martingale sums add. Use case: L2 convergence, square-function, and maximal inequality exercises.	chapter4,proof-template,orthogonality,martingale-differences,l2
	Kronecker normalization for martingale sums	Show a weighted martingale series converges in L2 or a.s., then apply Kronecker's lemma to get normalized partial-sum convergence. Use case: Martingale strong laws and weighted-average exercises.	chapter4,proof-template,kronecker-lemma,strong-law,martingale-series
	Posterior consistency from Levy upward theorem	Write a posterior probability as E[1_A | F_n]; as observations accumulate and generate A, Levy upward convergence sends it to 1_A. Use case: Bayesian consistency and statistical identification exercises.	chapter4,proof-template,levy-upward,posterior,conditional-probability
	Dyadic conditional expectations approximate the full variable	Condition on increasingly fine dyadic sigma-fields; the generated sigma-field is the Borel information, so Levy upward gives convergence. Use case: Exercises approximating a variable by finite-information conditional expectations.	chapter4,construction-template,dyadic,conditional-expectation,levy-upward
	Levy zero-one law forces absorption or escape events	If conditional probabilities of a tail event stay bounded away from the event indicator, Levy's zero-one law gives a contradiction. Use case: Random-walk, branching, or Markov-chain exercises with eventual absorption events.	chapter4,proof-template,levy-zero-one,tail-event,absorption
	Bounded martingales with binary absorbing limits	A bounded martingale converges a.s.; if the dynamics force every limit to be 0 or 1, the starting value is the probability of limiting at 1. Use case: Urn, posterior, and absorbing-state martingale exercises.	chapter4,proof-template,bounded-martingale,absorbing-state,limit
	Backward martingale Lp convergence by uniform integrability	For p>1, boundedness in Lp gives uniform integrability, so backward martingale convergence improves to L1 and often Lp convergence. Use case: Backward conditional expectation exercises in Section 4.7.	chapter4,proof-template,backward-martingale,lp,uniform-integrability
	Pass limits inside backward conditional expectations carefully	Use domination or uniform integrability before interchanging conditional expectation limits with ordinary limits. Use case: Backward martingale convergence exercises involving approximating functions.	chapter4,warning,conditional-dct,backward-martingale,uniform-integrability
	Exchangeability turns conditioning into hypergeometric sampling	Given the unordered multiset or the total number of successes, exchangeability makes a fixed subcollection have the finite-population hypergeometric law. Use case: Exchangeable Bernoulli and finite-sample conditional probability exercises.	chapter4,calculation-template,exchangeability,hypergeometric,conditioning
	Exchangeable pair covariance constraints	Use Var(sum X_i) >= 0 to derive lower bounds on pair covariances and identify the limiting covariance structure. Use case: Exchangeability exercises about correlations and de Finetti-style limits.	chapter4,calculation-template,exchangeability,covariance,variance
	U-statistic square limits by pair classification	Expand the square of the U-statistic and classify pairs by overlap pattern; only non-negligible classes contribute in the limit. Use case: U-statistic convergence exercises under exchangeability or iid assumptions.	chapter4,calculation-template,u-statistic,second-moment,pair-counting
	Optional stopping with a conditional target	Stop at T wedge n, prove uniform integrability or boundedness, and pass to E[M_T | F_S]=M_S. Use case: Random-walk and stopping-time exercises with conditional versions of optional stopping.	chapter4,proof-template,optional-stopping,uniform-integrability,conditioning
	Maximal bounds for nonnegative supermartingales	Stop at the first crossing of a level and use the supermartingale property to bound the crossing probability by the initial mean divided by the level. Use case: Ruin, hitting, and overshoot probability estimates.	chapter4,inequality-template,supermartingale,maximal-bound,hitting-time
	Wald's second equation from a stopped square martingale	For centered iid increments, S_n^2 - n sigma^2 is a martingale; optional stopping gives E[S_T^2]=sigma^2 E[T] when justified. Use case: Expected duration and variance identities for stopped random walks.	chapter4,calculation-template,wald-identity,square-martingale,random-walk
	Generate gambler's ruin moments from martingales	Use S_n, S_n^2-n, and higher polynomial martingales stopped at ruin boundaries to solve for hitting probabilities and time moments. Use case: Gambler's ruin expected time and variance exercises.	chapter4,calculation-template,gambler-ruin,polynomial-martingales,moments
