front	back	tags
Poisson splitting for occupancy	A Poisson number of independent categorized observations splits into independent Poisson counts in each category. Use case: Exercise 3.7.5 and birthday/occupancy computations.	chapter3,calculation-template,poisson-splitting,occupancy,independence
Uniform spacings are Dirichlet	The gaps between ordered uniform points, including endpoints, are exchangeable Dirichlet(1,...,1) spacings. Use case: Exercises 3.7.7 through 3.7.9.	chapter3,distribution-fact,uniform-order-statistics,spacings,dirichlet
Extreme spacings by first and second moments	Count gaps above a threshold, compute one- and two-gap probabilities from simplex volumes, and use variance control. Use case: Largest and smallest uniform spacing limits.	chapter3,proof-template,extreme-spacing,second-moment,simplex-volume
No centering for alpha less than one stable limits	For alpha<1, small jumps are summable in absolute value under the Levy measure, so the stable limit needs no compensating centering. Use case: Exercises 3.8.1, 3.8.3, and 3.8.5.	chapter3,stable-law-fact,stable-laws,centering,alpha-less-than-one
Borderline normal attraction has sqrt(n log n) scale	A symmetric variable with tail P(|Z|>x) like x^{-2} has infinite variance but still lies in the normal domain with a logarithmic variance correction. Use case: Exercise 3.8.2 with p=1/2.	chapter3,limit-template,normal-attraction,infinite-variance,log-correction
Stable fractional moment and tail test	Use the integral representation of E|X|^p through 1-Re phi(t) to get finiteness for p<alpha and tail lower bounds to show E|X|^alpha diverges. Use case: Exercise 3.8.4.	chapter3,calculation-template,stable-laws,fractional-moments,tails
Positive stable Laplace functional equation	Stability gives psi(lambda)^n=psi(n^{1/alpha}lambda); continuity turns this into psi(lambda)=exp(-c lambda^alpha). Use case: Exercise 3.8.6.	chapter3,proof-template,positive-stable,laplace-transform,functional-equation
Stable subordination product rule	Condition on a positive beta-stable Y: E exp(it X Y^{1/alpha}) becomes the Laplace transform of Y at c|t|^alpha, giving index alpha beta. Use case: Exercise 3.8.7 and normal-ratio Cauchy derivations.	chapter3,calculation-template,subordination,stable-laws,cauchy
Gamma infinite divisibility by shape splitting	A Gamma(a,lambda) characteristic function is the nth power of the Gamma(a/n,lambda) characteristic function. Use case: Exercise 3.9.1.	chapter3,calculation-template,gamma,infinite-divisibility,convolution
Bounded infinitely divisible laws are degenerate	If a bounded law is an n-fold convolution, the summand support diameter is at most 1/n of the total diameter, forcing variance to zero. Use case: Exercise 3.9.2.	chapter3,proof-template,infinite-divisibility,bounded-support,variance
Infinitely divisible characteristic functions do not vanish	Symmetrize to |phi|^2, take nth convolution roots, and use continuity near zero to contradict a zero at a fixed point. Use case: Exercise 3.9.3.	chapter3,proof-template,characteristic-functions,infinite-divisibility,nonvanishing
Find Levy measures by matching exponents	Compare the log characteristic function with the Levy-Khinchin integral; symmetry cancels imaginary compensation terms. Use case: Exercise 3.9.4.	chapter3,calculation-template,levy-measure,levy-khinchin,symmetric-law
Recover marginals from a joint CDF	Send all non-target coordinates to infinity and use continuity from below to recover the target coordinate's distribution function. Use case: Exercise 3.10.1.	chapter3,definition-use,marginals,joint-cdf,continuity-from-below
FGM-type copula density check	For C(u)=prod u_i + alpha prod u_i(1-u_i), the mixed derivative is 1+alpha prod(1-2u_i), nonnegative for |alpha|<=1. Use case: Exercise 3.10.2.	chapter3,construction-template,copula,joint-distribution,density-check
Mixed partial derivative recovers joint density	Write the CDF as an iterated integral of the density and apply the fundamental theorem of calculus successively. Use case: Exercise 3.10.3.	chapter3,calculation-template,joint-density,cdf,mixed-partial
Joint characteristic function factorization	Independence gives product transforms; conversely, a product joint characteristic function matches the product law by uniqueness. Use case: Exercise 3.10.6.	chapter3,proof-template,independence,joint-characteristic-function,uniqueness
Diagonal covariance gives independent normal coordinates	For a multivariate normal vector, a diagonal covariance matrix makes the characteristic function factor into one-dimensional normal transforms. Use case: Exercise 3.10.7.	chapter3,normal-law-fact,multivariate-normal,covariance,independence
Identify multivariate normal laws by all linear combinations	If every t dot X is normal with the right mean and variance, then the joint characteristic function is the multivariate normal transform. Use case: Exercise 3.10.8.	chapter3,proof-template,cramer-wold,multivariate-normal,characteristic-functions
