front	back	tags
Random-sum variance by conditioning on the count	Condition on N to compute E[S_N | N] and Var(S_N | N), then add conditional variance plus variance of the conditional mean. Use case: Random sums and total-variance exercises in Section 4.1.	chapter4,calculation-template,random-sum,total-variance,conditioning
Conditional expectation can preserve distribution only under rigidity	If E[X|H] has the same distribution as X and Jensen is tight for a strictly convex function, then X must already be H-measurable. Use case: Exercises where conditioning appears not to reduce randomness.	chapter4,warning,jensen,rigidity,conditional-expectation
One-step martingale check in the natural filtration	For processes built from independent increments, reduce E[X_{n+1}|F_n] to a deterministic function of the current state and one new increment. Use case: Section 4.2 martingale, submartingale, and supermartingale verification.	chapter4,proof-template,martingale,natural-filtration,independent-increments
Deterministic martingale-type checks reduce to monotonicity	A deterministic adapted process is a submartingale or supermartingale exactly when the underlying sequence is monotone in the corresponding direction. Use case: Exercises testing definitions on simple deterministic examples.	chapter4,calculation-template,submartingale,supermartingale,deterministic-process
Localize upcrossing arguments by stopping at bounded levels	Stop a process before it leaves a bounded range so optional inequalities apply, then let the stopping level increase. Use case: Upcrossing and convergence exercises where integrability or boundedness needs to be restored.	chapter4,proof-template,upcrossing,stopping,localization
Product martingales may converge to zero by logarithms	For products of independent mean-one factors, examine log factors; a negative accumulated log drift can force almost-sure convergence to zero. Use case: Multiplicative martingales and examples where mean is not preserved at the limit.	chapter4,calculation-template,product-martingale,log-transform,almost-sure-limit
Dubins-style switching creates many upcrossings	Alternate between betting strategies active below one level and above another to convert repeated upcrossings into predictable-transform gains. Use case: Exercises connecting upcrossing inequalities with gambling interpretations.	chapter4,construction-template,upcrossing,predictable-transform,gambling
Bounded increments alone do not make a martingale	Construct an adapted process with bounded steps but nonzero conditional drift to show martingale conclusions need a true drift condition. Use case: Section 4.3 exercises checking the exact hypotheses of martingale theorems.	chapter4,counterexample-template,counterexample,bounded-increments,conditional-drift
Summable additive errors preserve convergence	Add the tail sum of the error sequence to a near-supermartingale to obtain a genuine supermartingale with the same limiting behavior. Use case: Almost-supermartingale convergence arguments.	chapter4,proof-template,supermartingale,summable-errors,convergence
Partition likelihood ratios form martingales	On a refining finite partition, the ratio Q(A)/P(A) on the cell containing omega is the conditional expectation of dQ/dP. Use case: Radon-Nikodym and likelihood-ratio martingale exercises.	chapter4,calculation-template,radon-nikodym,likelihood-ratio,partition
Bernoulli product likelihood ratios and Hellinger sums	For product Bernoulli laws, square-root likelihood overlaps factor, and convergence or singularity is controlled by a summable squared parameter distance. Use case: Exercises comparing infinite product measures.	chapter4,criterion,bernoulli-product,hellinger,absolute-continuity
Branching extinction probabilities are fixed points	Condition on the first generation to get q = f(q), where f is the offspring generating function; choose the minimal fixed point in [0,1]. Use case: Branching-process extinction and survival exercises.	chapter4,calculation-template,branching-process,generating-function,fixed-point
Optional sampling between two stopping times	Apply optional sampling to stopped processes at bounded approximations of S and T, then pass to limits using the available integrability control. Use case: Section 4.4 exercises with E[M_T | F_S] and S <= T.	chapter4,proof-template,optional-sampling,stopping-times,conditioning
Doob L1 logarithmic maximal bound	Integrate the weak L1 maximal inequality over levels and split at a scale where the integral of min(1, X/lambda) is finite. Use case: Maximal estimates for nonnegative submartingales without Lp control for p>1.	chapter4,inequality-template,doob-inequality,maximal-bound,logarithmic-moment
Quadratic martingale exit bounds	For a martingale with controlled conditional variances, stop M_n^2 minus accumulated variance at the exit time and compare with the boundary size. Use case: Exit probability and maximal L2 exercises.	chapter4,calculation-template,quadratic-martingale,exit-time,variance-bound
Martingale increments are orthogonal in L2	For i<j, E[D_iD_j]=E[D_i E[D_j|F_{j-1}]]=0, so variances of martingale sums add. Use case: L2 convergence, square-function, and maximal inequality exercises.	chapter4,proof-template,orthogonality,martingale-differences,l2
Kronecker normalization for martingale sums	Show a weighted martingale series converges in L2 or a.s., then apply Kronecker's lemma to get normalized partial-sum convergence. Use case: Martingale strong laws and weighted-average exercises.	chapter4,proof-template,kronecker-lemma,strong-law,martingale-series
Posterior consistency from Levy upward theorem	Write a posterior probability as E[1_A | F_n]; as observations accumulate and generate A, Levy upward convergence sends it to 1_A. Use case: Bayesian consistency and statistical identification exercises.	chapter4,proof-template,levy-upward,posterior,conditional-probability
Dyadic conditional expectations approximate the full variable	Condition on increasingly fine dyadic sigma-fields; the generated sigma-field is the Borel information, so Levy upward gives convergence. Use case: Exercises approximating a variable by finite-information conditional expectations.	chapter4,construction-template,dyadic,conditional-expectation,levy-upward
Levy zero-one law forces absorption or escape events	If conditional probabilities of a tail event stay bounded away from the event indicator, Levy's zero-one law gives a contradiction. Use case: Random-walk, branching, or Markov-chain exercises with eventual absorption events.	chapter4,proof-template,levy-zero-one,tail-event,absorption
Bounded martingales with binary absorbing limits	A bounded martingale converges a.s.; if the dynamics force every limit to be 0 or 1, the starting value is the probability of limiting at 1. Use case: Urn, posterior, and absorbing-state martingale exercises.	chapter4,proof-template,bounded-martingale,absorbing-state,limit
Backward martingale Lp convergence by uniform integrability	For p>1, boundedness in Lp gives uniform integrability, so backward martingale convergence improves to L1 and often Lp convergence. Use case: Backward conditional expectation exercises in Section 4.7.	chapter4,proof-template,backward-martingale,lp,uniform-integrability
Pass limits inside backward conditional expectations carefully	Use domination or uniform integrability before interchanging conditional expectation limits with ordinary limits. Use case: Backward martingale convergence exercises involving approximating functions.	chapter4,warning,conditional-dct,backward-martingale,uniform-integrability
Exchangeability turns conditioning into hypergeometric sampling	Given the unordered multiset or the total number of successes, exchangeability makes a fixed subcollection have the finite-population hypergeometric law. Use case: Exchangeable Bernoulli and finite-sample conditional probability exercises.	chapter4,calculation-template,exchangeability,hypergeometric,conditioning
Exchangeable pair covariance constraints	Use Var(sum X_i) >= 0 to derive lower bounds on pair covariances and identify the limiting covariance structure. Use case: Exchangeability exercises about correlations and de Finetti-style limits.	chapter4,calculation-template,exchangeability,covariance,variance
U-statistic square limits by pair classification	Expand the square of the U-statistic and classify pairs by overlap pattern; only non-negligible classes contribute in the limit. Use case: U-statistic convergence exercises under exchangeability or iid assumptions.	chapter4,calculation-template,u-statistic,second-moment,pair-counting
Optional stopping with a conditional target	Stop at T wedge n, prove uniform integrability or boundedness, and pass to E[M_T | F_S]=M_S. Use case: Random-walk and stopping-time exercises with conditional versions of optional stopping.	chapter4,proof-template,optional-stopping,uniform-integrability,conditioning
Maximal bounds for nonnegative supermartingales	Stop at the first crossing of a level and use the supermartingale property to bound the crossing probability by the initial mean divided by the level. Use case: Ruin, hitting, and overshoot probability estimates.	chapter4,inequality-template,supermartingale,maximal-bound,hitting-time
Wald's second equation from a stopped square martingale	For centered iid increments, S_n^2 - n sigma^2 is a martingale; optional stopping gives E[S_T^2]=sigma^2 E[T] when justified. Use case: Expected duration and variance identities for stopped random walks.	chapter4,calculation-template,wald-identity,square-martingale,random-walk
Generate gambler's ruin moments from martingales	Use S_n, S_n^2-n, and higher polynomial martingales stopped at ruin boundaries to solve for hitting probabilities and time moments. Use case: Gambler's ruin expected time and variance exercises.	chapter4,calculation-template,gambler-ruin,polynomial-martingales,moments
Exponential martingale ruin adjustment	Find theta with E exp(theta X)=1, stop exp(theta S_n) at a hitting time, and use boundary values to estimate ruin probabilities. Use case: Insurance risk, random-walk ruin, and Lundberg-type inequalities.	chapter4,calculation-template,exponential-martingale,ruin-probability,adjustment-coefficient
Fourth-moment martingales bound exit-time moments	Construct a polynomial martingale involving S_n^4, S_n^2, and n; stopping it at an exit time produces second-moment bounds for T. Use case: Random-walk exit-time variance and higher-moment exercises.	chapter4,calculation-template,fourth-moment,exit-time,polynomial-martingale
Return-time renewal equations via generating functions	Decompose visits into first return plus future visits, obtaining U(s)=1/(1-F(s)); analyze F(s) near s=1 to read recurrence and expected return time. Use case: Section 4.9 random-walk return-time exercise.	chapter4,calculation-template,renewal-equation,generating-functions,return-time
