id	front	back	tags
durrett_ch7_markov_property	Chapter 7: Brownian Markov property	Conditioned on the present, the shifted future of Brownian motion has the law of Brownian motion started from the current state and is independent of the past. Exam use: Use to restart Brownian motion at deterministic times and compute conditional expectations. Pitfall: The conditioning sigma-field is the completed right-continuous past; using an informal past can hide null-set issues.	markov-property,conditional-expectation,shift
durrett_ch7_germ_field_equivalence	Chapter 7: Right-continuous germ conditioning	For bounded path functionals, conditioning on F_s^+ agrees almost surely with conditioning on the raw past F_s^0. Exam use: Clarifies why immediate-future events can be handled cleanly at time 0. Pitfall: This is an almost-sure equality of conditional expectations, not equality of all raw sigma-fields literally.	germ-field,right-continuity,conditioning
durrett_ch7_blumenthal_zero_one	Chapter 7: Blumenthal's 0-1 law	Every event in the Brownian germ sigma-field F_0^+ has probability 0 or 1 under a fixed starting point. Exam use: Use for immediate hitting, local oscillation, and path behavior as t downarrow 0. Pitfall: The probability may depend on the starting point; the law is not automatically uniform in x.	zero-one-law,germ-field,local-behavior
durrett_ch7_immediate_positive_negative_hits	Chapter 7: Immediate crossing at the origin	Starting from 0, Brownian motion hits (0,infinity), hits (-infinity,0), and returns to 0 immediately with probability one. Exam use: Useful when proving the zero set has no isolated points and when reasoning about local extrema. Pitfall: The return time is inf{t>0:B_t=0}; allowing t=0 would make the statement trivial.	immediate-hitting,zero-set,blumenthal
durrett_ch7_time_inversion	Chapter 7: Brownian time inversion	If B starts at 0, then X_0=0 and X_t=t B_{1/t} for t>0 is again Brownian motion. Exam use: Transfers small-time Brownian statements into large-time statements. Pitfall: The transform is t B_{1/t}, not B_{1/t}/t.	time-inversion,gaussian-characterization,large-time
durrett_ch7_brownian_tail_zero_one	Chapter 7: Brownian tail 0-1 law	Events determined by the arbitrarily far future have probability identically 0 or identically 1 for all starting states. Exam use: Use for recurrence and unbounded oscillation at infinity. Pitfall: This is stronger than the germ law because the conclusion is uniform in the starting state.	tail-sigma-field,zero-one-law,time-inversion
durrett_ch7_limsup_liminf_unbounded	Chapter 7: Large-time oscillation	One-dimensional Brownian motion satisfies limsup B_t/sqrt(t)=infinity and liminf B_t/sqrt(t)=-infinity almost surely. Exam use: Quick route to recurrence and repeated level-crossing arguments. Pitfall: This is weaker than the law of the iterated logarithm but enough for recurrence.	oscillation,tail-zero-one,recurrence
durrett_ch7_one_dimensional_recurrence	Chapter 7: One-dimensional Brownian recurrence	For every starting point, one-dimensional Brownian motion hits 0 infinitely often at arbitrarily large times almost surely. Exam use: Use whenever hitting times of points are assumed finite or when restarting at returns. Pitfall: Recurrence in one dimension does not generalize unchanged to higher-dimensional hitting of points.	recurrence,hitting,one-dimensional
durrett_ch7_stopping_time_definition	Chapter 7: Stopping time definition	A random time S is a stopping time when {S<t} is in F_t for every t; for right-continuous filtrations this is equivalent to using {S<=t}. Exam use: Use to verify that hitting, exit, minima, and approximating times are legitimate restart times. Pitfall: The definition is about information available by time t, not about whether S has a density or finite expectation.	stopping-times,filtration,right-continuity
durrett_ch7_hitting_times_open_closed	Chapter 7: Open and closed hitting times are stopping times	For continuous Brownian paths, the first hitting time of an open set or a closed set is a stopping time. Exam use: Use to justify applying strong Markov property to level hitting and interval exit times. Pitfall: For general Borel sets the statement is true but much harder; do not use the open/closed proof blindly.	hitting-times,open-sets,closed-sets
durrett_ch7_stopping_time_limits	Chapter 7: Limits of stopping times	Increasing and decreasing limits of stopping times are stopping times in a right-continuous filtration. Exam use: Useful for proving complicated first-entry times by approximation. Pitfall: Right-continuity matters for some <= formulations.	stopping-times,limits,approximation
durrett_ch7_random_shift_and_F_S	Chapter 7: Random shift and information at a stopping time	The shift theta_S removes the path before S and restarts time at S; F_S contains events whose restriction to {S<=t} is F_t-measurable for every t. Exam use: Needed to state the strong Markov property and optional stopping cleanly. Pitfall: F_S is not simply F_t with t replaced by a random variable; it has its own measurability definition.	random-shift,stopped-sigma-field,strong-markov
durrett_ch7_B_S_measurable	Chapter 7: Stopped value is known at the stopping time	If S is a stopping time, then B_S is F_S-measurable. Exam use: Lets conditional expectations at stopping times depend on the random current position B_S. Pitfall: This uses continuity and the completed/right-continuous filtration setup.	stopped-process,measurability,dyadic-approximation
durrett_ch7_strong_markov_property	Chapter 7: Strong Markov property	Given a stopping time S, the post-S Brownian path conditioned on F_S has the law of Brownian motion started at B_S, on {S<infinity}. Exam use: The central engine for reflection principle, hitting-time increments, recurrence refinements, and exit calculations. Pitfall: Always check S is a stopping time and restrict or control the event {S<infinity}.	strong-markov,stopping-times,restart
durrett_ch7_zero_set_structure	Chapter 7: Brownian zero set structure	The zero set of one-dimensional Brownian motion is almost surely closed, has no isolated points, is uncountable, and has Lebesgue measure zero. Exam use: Good conceptual anchor for path-property problems involving returns to zero. Pitfall: Uncountable does not imply positive Lebesgue measure.	zero-set,perfect-set,measure-zero
durrett_ch7_hitting_time_subordinator	Chapter 7: Level hitting times have stationary independent increments	Under P_0, the process {T_a:a>=0}, where T_a=inf{t:B_t=a}, has stationary independent increments as a function of the level a. Exam use: Use to recognize hitting times as a stable subordinator of index 1/2. Pitfall: The parameter is the spatial level a, not the Brownian time parameter.	hitting-times,subordinator,stationary-independent-increments
durrett_ch7_hitting_time_scaling	Chapter 7: Hitting-time scaling	For a>0, T_a has the same distribution as a^2 T_1. Exam use: Quickly reduces level-dependent hitting-time questions to the case a=1. Pitfall: The square on a is essential; hitting times scale like distance squared.	hitting-times,scaling,stable-law
durrett_ch7_hitting_time_laplace_shape	Chapter 7: Hitting-time Laplace transform shape	The Laplace transform phi_a(lambda)=E_0 exp(-lambda T_a) has the exponential form exp(-a c(lambda)), and eventually c(lambda)=sqrt(2 lambda). Exam use: Use before or after exponential martingales to compute exact transforms. Pitfall: The constant sqrt(2) requires the martingale calculation; scaling alone gives only proportionality.	laplace-transform,hitting-times,scaling
durrett_ch7_reflection_principle	Chapter 7: Reflection principle	For a>0, P_0(T_a<t)=2 P_0(B_t>=a), where T_a is the first hitting time of level a. Exam use: Essential for maxima distributions, hitting-time densities, and barrier-crossing probabilities. Pitfall: The result is for Brownian motion without drift and with a one-sided level; drift or two-sided barriers need changes.	reflection-principle,maximum,hitting-times
durrett_ch7_hitting_time_density	Chapter 7: First hitting-time density	For a>0, T_a has density a (2 pi s^3)^(-1/2) exp(-a^2/(2s)) on s>0. Exam use: Use for explicit integrals involving first passage times. Pitfall: This density has heavy tail and infinite mean; do not apply finite-mean intuition.	hitting-time-density,reflection-principle,first-passage
durrett_ch7_arcsine_last_zero	Chapter 7: Arcsine law for the last zero before one	If L=sup{t<=1:B_t=0}, then P_0(L<=s)=(2/pi) arcsin(sqrt(s)) for 0<s<1. Exam use: Classic Brownian path distribution and a bridge to random-walk arcsine laws. Pitfall: The density blows up near 0 and 1; the last zero is not concentrated near 1/2.	arcsine-law,last-zero,path-distribution
durrett_ch7_optional_stopping_bounded	Chapter 7: Optional stopping for bounded stopping times	A right-continuous martingale stopped at a bounded stopping time has the same expectation as at time 0. Exam use: Foundation for Brownian exit probabilities and expected exit times. Pitfall: Boundedness or another valid stopping hypothesis is required; optional stopping is not automatic for unbounded times.	optional-stopping,martingales,bounded-stopping-time
durrett_ch7_brownian_martingale	Chapter 7: Brownian motion is a martingale	B_t is a martingale with respect to the Brownian filtration. Exam use: Use with optional stopping to compute two-sided hitting probabilities. Pitfall: Requires integrability and the correct filtration.	martingale,brownian-motion,markov-property
durrett_ch7_two_sided_exit_probability	Chapter 7: Two-sided exit probability	For a<x<b, P_x(T_a<T_b)=(b-x)/(b-a). Exam use: High-yield gambler's-ruin analogue for Brownian motion. Pitfall: First show or know the exit time is finite; then justify the stopping/localization step.	exit-probability,optional-stopping,gambler-ruin
durrett_ch7_square_martingale	Chapter 7: Square martingale	B_t^2-t is a martingale. Exam use: Use to compute expected exit times and quadratic variation intuition. Pitfall: B_t^2 alone is a submartingale, not a martingale.	martingale,quadratic-variation,second-moment
durrett_ch7_expected_interval_exit_time	Chapter 7: Expected exit time from an interval	If T=inf{t:B_t notin (a,b)} with a<0<b and B_0=0, then E_0 T=-ab. Exam use: Standard computation for Brownian mean exit time from a bounded interval. Pitfall: Do not confuse exit from (a,b) with hitting a single level; the one-sided hitting time has infinite mean.	exit-time,square-martingale,optional-stopping
durrett_ch7_exponential_martingale	Chapter 7: Exponential Brownian martingale	For real theta, exp(theta B_t - theta^2 t/2) is a martingale. Exam use: Use for Laplace transforms of hitting times and drift/barrier calculations. Pitfall: The compensator is theta^2 t/2; missing the factor 1/2 breaks the martingale.	exponential-martingale,laplace-transform,gaussian-mgf
durrett_ch7_hitting_time_laplace_exact	Chapter 7: Exact Laplace transform of a hitting time	For T_a=inf{t:B_t=a} and a>0, E_0 exp(-lambda T_a)=exp(-a sqrt(2 lambda)). Exam use: Fastest exact calculation for first-passage Laplace transforms. Pitfall: The formula is for one-sided hitting from 0 to a>0; signs and starting points need translation.	hitting-times,laplace-transform,exponential-martingale
durrett_ch7_heat_equation_martingales	Chapter 7: Heat-equation martingales	If u_t+(1/2)u_xx=0 for a suitable polynomial u(t,x), then u(t,B_t) is a martingale. Exam use: Generates polynomial martingales such as B_t^3-3tB_t and B_t^4-6tB_t^2+3t^2. Pitfall: The sign is the backward heat equation sign; check whether the time variable is forward or backward in a problem.	heat-equation,polynomial-martingales,brownian-martingales
durrett_ch7_symmetric_exit_second_moment	Chapter 7: Second moment of symmetric exit time	For T=inf{t:B_t notin (-a,a)}, E[T^2]=5a^4/3. Exam use: Useful template for computing higher exit-time moments via polynomial martingales. Pitfall: In nonsymmetric intervals, T and B_T^2 need not be independent, so the same shortcut fails.	exit-time-moments,polynomial-martingales,optional-stopping
durrett_ch7_ito_formula_one_dimensional	Chapter 7: One-dimensional Ito formula	For f in C^2, f(B_t)-f(B_0)=int_0^t f'(B_s)dB_s + (1/2)int_0^t f''(B_s)ds. Exam use: The central calculus rule for functions of Brownian motion. Pitfall: Ordinary chain rule misses the second-derivative correction.	ito-formula,stochastic-calculus,quadratic-variation
durrett_ch7_stochastic_integral_is_martingale	Chapter 7: Stochastic integral martingale criterion	If g is continuous and E int_0^t |g(B_s)|^2 ds is finite, then int_0^t g(B_s)dB_s is a continuous martingale. Exam use: Lets Ito formula immediately produce martingales when the drift term vanishes. Pitfall: Square-integrability is the hypothesis that keeps the stochastic integral controlled.	stochastic-integral,martingale,square-integrability
durrett_ch7_ito_formula_time_space	Chapter 7: Time-space Ito formula	For f in C^2 in time and space, df(t,B_t)=f_t(t,B_t)dt+f_x(t,B_t)dB_t+(1/2)f_xx(t,B_t)dt. Exam use: Use to connect Brownian martingales with PDEs and exponential models. Pitfall: There is no term involving dt dB_t or (dt)^2 in the limit.	ito-formula,pde,time-space
durrett_ch7_exponential_brownian_ito	Chapter 7: Ito formula for exponential Brownian motion	For X_t=exp(mu t+sigma B_t), Ito's formula gives dX_t=(mu+sigma^2/2)X_t dt+sigma X_t dB_t. Exam use: Common model pattern for geometric Brownian motion and for checking exponential martingales. Pitfall: The drift of exp(mu t+sigma B_t) is mu+sigma^2/2, not just mu.	geometric-brownian-motion,ito-formula,exponential
durrett_ch7_multidimensional_ito_formula	Chapter 7: Multidimensional Ito formula	For d-dimensional Brownian motion, df(t,B_t)=f_t dt+sum_i f_i dB_t^i+(1/2)sum_i f_{ii} dt. Exam use: Use for radial processes, harmonic functions, and multidimensional martingales. Pitfall: The Laplacian term appears with factor 1/2; mixed second derivatives do not contribute for standard independent Brownian coordinates.	multidimensional-ito,laplacian,brownian-motion
