id	front	back	tags
durrett_ch9_heat_kernel_smoothing	Gaussian heat kernel smoothing (9.2 Heat Equation)	For bounded continuous f, v(t,x)=integral (2 pi t)^(-d/2) exp(-|x-y|^2/(2t)) f(y) dy is C1,2 for t>0. Exam use: Turns probabilistic representation into an actual classical solution. Pitfall: The smoothing is for t>0; behavior at t=0 is controlled by the initial data.	regularity,heat-kernel,smoothing
durrett_ch9_duhamel_inhomogeneous_heat	Duhamel representation for inhomogeneous heat equation (9.3 Inhomogeneous Heat Equation)	For u_t=1/2 Delta u+g with zero initial data, the bounded solution is v(t,x)=E_x integral_0^t g(B_s) ds. Exam use: Use for heat equations with source terms and for occupation-time interpretations. Pitfall: With nonzero f, add the homogeneous solution E_x f(B_t).	inhomogeneous-heat,duhamel,occupation-time
durrett_ch9_inhomogeneous_heat_regularity	Holder source gives C1,2 inhomogeneous solution (9.3 Inhomogeneous Heat Equation)	If g is Holder continuous, then v(t,x)=E_x integral_0^t g(B_s) ds is C1,2 and solves the inhomogeneous heat equation. Exam use: A checklist item: representation plus Holder regularity gives a classical PDE solution. Pitfall: Continuity of g is natural, but Holder regularity is the clean sufficient condition used here.	holder-continuity,regularity,inhomogeneous-heat
durrett_ch9_feynman_kac_forward	Feynman-Kac formula for the heat equation with potential (9.4 Feynman-Kac Formula)	For u_t=1/2 Delta u+c(x)u and initial f, the bounded solution is v(t,x)=E_x[f(B_t) exp(integral_0^t c(B_s)ds)]. Exam use: Use for heat equations with growth/decay potential and moment-generating questions for occupation integrals. Pitfall: Check the sign convention: the chapter's plus c u corresponds to exp(+ integral c).	feynman-kac,potential,heat-equation
durrett_ch9_feynman_kac_smoothness	Feynman-Kac smoothness via reduction (9.4 Feynman-Kac Formula)	If f and c are Holder continuous, the Feynman-Kac representation is C1,2 and solves the PDE. Exam use: Use when asked to justify that a probabilistic formula is a classical solution. Pitfall: Boundedness gives a representation; regularity needs additional assumptions.	regularity,feynman-kac,holder-continuity
durrett_ch9_dirichlet_problem_representation	Dirichlet problem representation (9.5 Dirichlet Problem)	For a domain G with exit time tau, any bounded harmonic solution with boundary data f must be v(x)=E_x f(B_tau). Exam use: The central Brownian representation for harmonic measure and boundary-value problems. Pitfall: The formula can fail to satisfy the boundary condition at irregular boundary points.	dirichlet-problem,harmonic-measure,exit-time
durrett_ch9_mean_value_harmonicity	Mean-value property implies harmonicity (9.5 Dirichlet Problem)	If v(x)=E_x v(B_tau_B) for every small ball B around x and v is C2, then Delta v(x)=0. Exam use: Use to move from Brownian representations to Laplace's equation without stochastic calculus. Pitfall: The ball must be compactly contained in the domain.	mean-value-property,harmonic,laplace-equation
durrett_ch9_interior_smoothness_harmonic	Interior smoothness of Brownian harmonic functions (9.5 Dirichlet Problem)	The Brownian Dirichlet solution v(x)=E_x f(B_tau) is C-infinity inside G. Exam use: Lets you assert interior classical harmonicity even with only bounded boundary data. Pitfall: Interior smoothness says nothing by itself about boundary continuity.	harmonic-functions,smoothness,poisson-kernel
durrett_ch9_regular_boundary_point	Regular boundary point (9.5 Dirichlet Problem)	A boundary point y is regular for G if Brownian motion started at y exits G immediately: P_y(tau=0)=1. Exam use: Use to decide where the Brownian Dirichlet solution attains the prescribed boundary value. Pitfall: A boundary point can be topologically present but probabilistically invisible.	regular-boundary,dirichlet-problem,brownian-exit
durrett_ch9_boundary_continuity_regular_points	Boundary continuity at regular points (9.5 Dirichlet Problem)	If f is bounded continuous and y is a regular boundary point, then E_x f(B_tau) tends to f(y) as x in G tends to y. Exam use: This is the precise condition for the Dirichlet representation to satisfy the boundary data. Pitfall: Do not claim boundary convergence at every boundary point without checking regularity.	boundary-continuity,regular-point,dirichlet-problem
durrett_ch9_cone_condition	Cone condition for regularity (9.5 Dirichlet Problem)	If the complement of G contains a cone with vertex y inside some small ball, then y is a regular boundary point. Exam use: A practical geometric sufficient condition for boundary regularity. Pitfall: It is sufficient, not necessary; failure of a cone condition does not automatically mean irregularity.	cone-condition,regular-boundary,geometry
durrett_ch9_punctured_domain_warning	Punctured-domain boundary warning (9.5 Dirichlet Problem)	Thin removed sets can fail to influence Brownian exit, so a bounded harmonic representation may ignore assigned values on those sets. Exam use: Explains why Dirichlet boundary data must be paired with regularity assumptions. Pitfall: A discontinuity of the probabilistic solution at an irregular point is not a contradiction of uniqueness inside G.	irregular-boundary,polar-sets,examples
durrett_ch9_half_space_poisson_kernel	Half-space Poisson kernel (9.5.1 Exit Distributions)	For the upper half-space H, the exit distribution on the boundary has density C_d y/(|x-theta|^2+y^2)^(d/2). Exam use: Use to compute Brownian exit distributions from a half-space; in d=2 it gives the Cauchy density. Pitfall: Track dimension conventions: the boundary variable theta lives in d-1 dimensions.	poisson-kernel,half-space,exit-distribution
durrett_ch9_ball_poisson_kernel	Unit-ball Poisson kernel (9.5.1 Exit Distributions)	For the unit ball D, E_x f(B_tau)=integral_{partial D} [(1-|x|^2)/|x-y|^d] f(y) pi(dy). Exam use: Use to solve explicit Dirichlet problems in balls. Pitfall: The surface measure pi is normalized to be a probability measure in the chapter's formula.	poisson-kernel,ball,harmonic-measure
durrett_ch9_newtonian_potential_kernel	Brownian potential kernel in R^d (9.6 Green's Functions and Potential Kernels)	The expected occupation density of Brownian motion is the potential kernel G(x,y), proportional to |x-y|^(2-d) for d>=3 and to -log|x-y| in d=2 after domain adjustment. Exam use: Use to turn occupation-time expectations into spatial integrals. Pitfall: In recurrent dimensions the full-space occupation integral can diverge, so constants and killed domains matter.	green-function,potential-kernel,occupation-density
durrett_ch9_green_function_killed_domain	Killed-domain Green function (9.6 Green's Functions and Potential Kernels)	For Brownian motion killed on leaving D, G_D(x,y) is the density satisfying E_x integral_0^tau f(B_t)dt = integral_D G_D(x,y)f(y)dy. Exam use: The bridge between Brownian occupation times and Poisson's equation. Pitfall: The Green function depends on the domain and boundary killing, not only on |x-y|.	green-function,killed-brownian-motion,occupation-time
durrett_ch9_poisson_equation_representation	Poisson equation representation (9.7 Poisson's Equation)	For 1/2 Delta u=-g in G with zero boundary data, any bounded solution must be v(x)=E_x integral_0^tau g(B_t)dt. Exam use: Use for expected occupation times, expected exit times, and source-term boundary problems. Pitfall: Sign conventions vary; here the PDE is 1/2 Delta u=-g for a positive occupation formula.	poisson-equation,occupation-time,exit-time
durrett_ch9_expected_exit_time_poisson	Expected exit time solves Poisson's equation (9.7 Poisson's Equation)	Taking g=1 gives v(x)=E_x tau, which solves 1/2 Delta v=-1 in G with zero boundary values at regular points. Exam use: A common prelim computation: guess radial v in a ball and verify by Laplacian and boundary values. Pitfall: Finite expectation needs domain control; unbounded domains may have infinite exit time.	expected-exit-time,poisson-equation,radial-solution
durrett_ch9_poisson_boundary_regular	Poisson solution vanishes at regular boundary points (9.7 Poisson's Equation)	If G and g are bounded and y is a regular boundary point, then v(x)=E_x integral_0^tau g(B_t)dt tends to zero as x tends to y from inside G. Exam use: Use to verify the zero boundary condition for occupation-time solutions. Pitfall: Regularity and boundedness assumptions are doing real work here.	boundary-condition,poisson-equation,regular-point
durrett_ch9_green_function_half_space	Half-space Green function by reflection (9.7.1 Occupation Times)	For the half-space, the killed Green function equals the full-space potential at y minus the full-space potential at the reflected point y_bar. Exam use: Compute occupation times before exiting a half-space. Pitfall: The reflected term has the same singularity mirrored across the boundary, not at the original y.	green-function,reflection-principle,half-space
durrett_ch9_green_function_ball_kelvin	Ball Green function by Kelvin transform (9.7.1 Occupation Times)	For the unit ball in d>=3, G_D(x,y)=G(x,y)-|y|^(2-d)G(x,y/|y|^2); a logarithmic analog holds in d=2. Exam use: Use for explicit occupation densities in balls. Pitfall: The formula has a singular-looking y=0 case that must be handled by a limit or separately.	green-function,unit-ball,kelvin-transform
durrett_ch9_schrodinger_martingale	Schrodinger boundary-value martingale (9.8 Schrodinger Equation)	For 1/2 Delta u+c(x)u=0 in G, u(B_t) exp(integral_0^t c(B_s)ds) is a local martingale up to the exit time. Exam use: Foundation for boundary Feynman-Kac formulas and exponential exit-time moments. Pitfall: The sign of c controls integrability; positive c can make the expectation infinite.	schrodinger-equation,feynman-kac,local-martingale
durrett_ch9_schrodinger_nonuniqueness_warning	Positive potential can destroy bounded representation (9.8 Schrodinger Equation)	For G=(-a,a), c=gamma>0, and boundary value 1, the ODE solution exists only away from eigenvalue obstructions and exponential exit moments can blow up. Exam use: Use as a warning that Feynman-Kac with positive potential needs integrability assumptions. Pitfall: Bounded c does not automatically imply E_x exp(integral_0^tau c(B_s)ds) is finite.	schrodinger-equation,eigenvalues,integrability
durrett_ch9_gauge_function	Gauge function for exponential lifetime integrability (9.8 Schrodinger Equation)	The gauge w(x)=E_x exp(integral_0^tau c(B_s)ds) measures whether the Schrodinger Feynman-Kac representation is finite. Exam use: Check this before asserting uniqueness or boundary representations with exponential weights. Pitfall: Finiteness at one point and boundedness over the domain require separate hypotheses in the chapter.	gauge,exponential-moment,schrodinger-equation
durrett_ch9_small_set_exponential_exit_bound	Small-set exponential exit bound (9.8 Schrodinger Equation)	For each theta>0, sufficiently small open sets H have uniformly bounded E_x exp(theta tau_H). Exam use: Technical tool that makes the gauge theorem work. Pitfall: Small Lebesgue measure is the key condition, not merely small diameter in the statement.	exit-time,exponential-moment,small-set
durrett_ch9_gauge_theorem_connected_domain	Gauge finiteness propagates on connected domains (9.8 Schrodinger Equation)	If G is connected and the gauge w is not identically infinite, then w(x)<infinity for every x in G; if |G|<infinity, w is bounded. Exam use: Use to justify uniform integrability in Schrodinger uniqueness proofs. Pitfall: Connectedness matters; separate components need separate checks.	gauge-theorem,connected-domain,boundedness
durrett_ch9_schrodinger_dirichlet_representation	Schrodinger Dirichlet representation (9.8 Schrodinger Equation)	Under bounded connected domain, bounded continuous f and c, and finite gauge, the bounded solution is v(x)=E_x[f(B_tau) exp(integral_0^tau c(B_s)ds)]. Exam use: Use for boundary-value problems with killing or creation potentials. Pitfall: Without the finite-gauge assumption, the formula may be infinite or uniqueness may fail.	schrodinger-equation,dirichlet-problem,feynman-kac
durrett_ch9_schrodinger_boundary_regular	Schrodinger boundary condition at regular points (9.8 Schrodinger Equation)	At regular boundary points, the Schrodinger representation tends to the boundary value f(y). Exam use: Use to finish verification of boundary data for the weighted representation. Pitfall: The exponential weight adds a tail-control requirement absent from the plain Dirichlet problem.	boundary-condition,regular-point,schrodinger-equation
durrett_ch9_schrodinger_smoothness	Holder potential gives C2 Schrodinger solution (9.8 Schrodinger Equation)	With the chapter's bounded-domain/gauge assumptions and Holder continuous c, the Schrodinger representation is C2 and solves 1/2 Delta v+c v=0. Exam use: Use to upgrade the probabilistic representation to a classical solution. Pitfall: Smoothness is interior; boundary regularity is a separate issue.	regularity,holder-continuity,schrodinger-equation
durrett_ch9_interval_exponential_exit_moment	Exponential exit moment from an interval (9.8 Schrodinger Equation)	For tau exiting (-a,a), E_x exp(gamma tau)=cos(x sqrt(2 gamma))/cos(a sqrt(2 gamma)) when 0<gamma<pi^2/(8a^2), and is infinite at or above the threshold. Exam use: A high-yield explicit computation connecting Brownian exit times with eigenvalues. Pitfall: The threshold is the first Dirichlet eigenvalue for the interval; at the threshold the denominator vanishes.	exit-time,exponential-moment,eigenvalue,interval
ch9_exercise_method_backward_heat_martingale_template	Backward heat martingale template (9.2 Exercises: Heat equation, Brownian semigroup, and heat-kernel smoothing)	For u_t=(1/2)Delta u, apply Ito to u(t-s,B_s); the time derivative cancels the Brownian drift and leaves a local martingale. Exam use: Section 9.2 martingale checks and any backward parabolic uniqueness argument. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	heat-equation,ito-formula,backward-time,martingale
ch9_exercise_method_bounded_heat_uniqueness	Bounded heat solution uniqueness by terminal martingale (9.2 Exercises: Heat equation, Brownian semigroup, and heat-kernel smoothing)	Boundedness upgrades the backward local martingale to a uniformly integrable martingale; sending s up to t identifies u(t,x) with E_x f(B_t). Exam use: Heat equation uniqueness and bounded parabolic Cauchy problems. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	heat-equation,uniqueness,uniform-integrability
ch9_exercise_method_gaussian_approximate_identity	Gaussian approximate identity at t=0 (9.2 Exercises: Heat equation, Brownian semigroup, and heat-kernel smoothing)	Write B_t as sqrt(t)Z; bounded convergence proves E f(x_n+sqrt(t_n)Z) tends to f(x) when f is bounded continuous. Exam use: Initial-condition verification for heat and Feynman-Kac formulas. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	heat-kernel,initial-condition,bounded-convergence
ch9_exercise_method_heat_kernel_derivative_majorants	Heat-kernel derivative majorants (9.2 Exercises: Heat equation, Brownian semigroup, and heat-kernel smoothing)	On t bounded away from zero, derivatives of the Gaussian kernel are polynomial times a Gaussian, giving integrable majorants for differentiating under the integral. Exam use: Proving C^{1,2} smoothing for heat semigroups. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	heat-kernel,regularity,dominated-convergence
ch9_exercise_method_source_term_martingale	Source-term martingale for inhomogeneous heat equations (9.3 Exercises: Inhomogeneous heat equation and Duhamel occupation formulas)	For u_t=(1/2)Delta u+g, add integral_0^s g(B_r)dr to u(t-s,B_s) so the drift cancels. Exam use: Duhamel representation and source-term uniqueness. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	duhamel,source-term,martingale
ch9_exercise_method_duhamel_uniqueness	Duhamel uniqueness from bounded martingales (9.3 Exercises: Inhomogeneous heat equation and Duhamel occupation formulas)	A bounded inhomogeneous heat solution with zero initial data equals E_x integral_0^t g(B_s)ds by stopping the source-term martingale at s=t. Exam use: Identifying source-forced heat solutions and occupation integrals. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	duhamel,uniqueness,occupation-integral
ch9_exercise_method_markov_property_pde_verification	Short-time Markov-property PDE verification (9.3 Exercises: Inhomogeneous heat equation and Duhamel occupation formulas)	Use v(t+h,x)=E_x[v(t,B_h)+short-time reward], Taylor expand v(t,B_h), divide by h, and let h down to zero. Exam use: Showing smooth Brownian representations solve heat, Poisson, and Feynman-Kac PDEs. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	markov-property,taylor-expansion,pde-verification
ch9_exercise_method_holder_cancels_kernel_singularity	Holder cancellation for singular heat-source kernels (9.3 Exercises: Inhomogeneous heat equation and Duhamel occupation formulas)	Subtract g(x) inside P_s g(x)-g(x); Holder continuity gives O(s^{alpha/2}), offsetting the small-time singularity. Exam use: Regularity of inhomogeneous heat and potential-kernel formulas. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	holder-continuity,regularity,singular-kernel
ch9_exercise_method_exponential_weight_martingale	Exponential potential weight martingale (9.4 Exercises: Feynman-Kac formula for heat equations with potentials)	Multiply by exp(integral c(B_s)ds); the finite-variation product rule adds exactly the c u drift needed for cancellation. Exam use: Feynman-Kac and Schrodinger martingale derivations. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	feynman-kac,exponential-weight,martingale
ch9_exercise_method_feynman_kac_bounded_uniqueness	Bounded Feynman-Kac uniqueness (9.4 Exercises: Feynman-Kac formula for heat equations with potentials)	If c and u are bounded on finite time intervals, the weighted martingale is bounded; stopping at t gives u(t,x)=E_x[f(B_t)exp(integral_0^t c(B_s)ds)]. Exam use: Parabolic PDEs with bounded multiplicative potentials. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	feynman-kac,boundedness,uniqueness
ch9_exercise_method_smooth_feynman_kac_short_time_check	Smooth Feynman-Kac short-time check (9.4 Exercises: Feynman-Kac formula for heat equations with potentials)	Use v(t+h,x)=E_x[e^{int_0^h c(B_s)ds}v(t,B_h)], then expand the Brownian move and the exponential to get v_t=(1/2)Delta v+c v. Exam use: Verifying smooth Feynman-Kac representations solve the PDE. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	feynman-kac,short-time,pde-verification
ch9_exercise_method_feynman_kac_duhamel_reduction	Feynman-Kac smoothness by Duhamel reduction (9.4 Exercises: Feynman-Kac formula for heat equations with potentials)	Use e^{A_t}-1=integral_0^t c(B_s)e^{A_t-A_s}ds to decompose v into a heat solution plus an inhomogeneous heat solution with source c v. Exam use: Regularity proofs for Feynman-Kac formulas with Holder f and c. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	feynman-kac,duhamel,regularity
ch9_exercise_method_heat_semigroup_liouville	Liouville theorem via heat semigroup flattening (9.5 Exercises: Dirichlet problem, Liouville principles, and boundary regularity)	A bounded harmonic h satisfies h(x)=E h(x+B_t); as t grows, two Gaussian laws with fixed mean separation have vanishing total variation distance, so h(x)=h(y). Exam use: Bounded harmonic functions on all of R^d. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	liouville,harmonic-functions,heat-semigroup
ch9_exercise_method_recurrent_superharmonic_constancy	Recurrent Brownian motion forces nonnegative superharmonic functions constant (9.5 Exercises: Dirichlet problem, Liouville principles, and boundary regularity)	Nonnegative superharmonic functions yield supermartingales; in d=1,2 Brownian motion hits every small neighborhood, so optional stopping gives f(x)>=f(y) and symmetry gives equality. Exam use: Superharmonic Liouville-type exercises in recurrent dimensions. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	superharmonic,recurrence,optional-stopping
ch9_exercise_method_radial_superharmonic_high_dimension	Radial superharmonic examples in high dimension (9.5 Exercises: Dirichlet problem, Liouville principles, and boundary regularity)	Use the radial Laplacian g''(r)+(d-1)g'(r)/r; functions such as (1+r^2)^{-(d-2)/2} are smooth nonconstant nonnegative superharmonic for d>=3. Exam use: Constructing counterexamples to recurrent-dimensional constancy in transient dimensions. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	radial-laplacian,superharmonic,dimension
ch9_exercise_method_escape_probability_nonuniqueness	Escape probability is the nonuniqueness direction (9.5 Exercises: Dirichlet problem, Liouville principles, and boundary regularity)	When Brownian motion can avoid exiting G, q(x)=P_x(tau=infinity) is a bounded zero-boundary harmonic function; all bounded zero-boundary solutions differ by c q. Exam use: Dirichlet problems in domains where exit is not almost sure. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	dirichlet-problem,nonuniqueness,escape-probability
ch9_exercise_method_flat_cone_regular_boundary	Flat cone boundary regularity (9.5 Exercises: Dirichlet problem, Liouville principles, and boundary regularity)	Use zeros of the perpendicular Brownian coordinate and the induced Cauchy trace on the hyperplane to show Brownian motion immediately hits a flat exterior cone. Exam use: Checking regular boundary points under weaker geometric exterior conditions. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	regular-boundary,cone-condition,brownian-trace
ch9_exercise_method_recurrent_ball_occupation_infinite	Infinite ball occupation in recurrent dimensions (9.6 Exercises: Green functions, occupation densities, and potential-kernel normalization)	Use recurrence to get infinitely many returns to a ball and the strong Markov property to sum positive occupation increments. Exam use: Occupation-time dichotomy for Brownian motion in d<=2. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	occupation-time,recurrence,strong-markov-property
ch9_exercise_method_transient_potential_kernel_gamma	Gamma change of variables for transient potential kernels (9.6 Exercises: Green functions, occupation densities, and potential-kernel normalization)	For d>=3, integrate the heat kernel over time and use s=|x-y|^2/(2t) to get Gamma(d/2-1)/(2 pi^{d/2}) |x-y|^{2-d}. Exam use: Green-function and expected occupation-density calculations. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	potential-kernel,gamma-function,transience
ch9_exercise_method_recurrent_modified_potential_kernel	Modified potential kernels in recurrent dimensions (9.6 Exercises: Green functions, occupation densities, and potential-kernel normalization)	Subtract a reference heat kernel before integrating over time; in d=1 this gives -|x-y| and in d=2 gives -(1/pi)log|x-y|. Exam use: Using potential kernels when the full-space occupation integral diverges. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	potential-kernel,recurrent-dimensions,renormalization
ch9_exercise_method_frullani_log_kernel	Frullani integral for the two-dimensional log kernel (9.6 Exercises: Green functions, occupation densities, and potential-kernel normalization)	After u=1/(2t), the difference of two planar heat kernels becomes integral_0^infty (e^{-a^2u}-e^{-u})du/u=-2log a. Exam use: Deriving the d=2 logarithmic potential kernel. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	frullani,log-kernel,dimension-two
ch9_exercise_method_distributional_delta_normalization	Distributional delta normalization of Green kernels (9.6 Exercises: Green functions, occupation densities, and potential-kernel normalization)	Integrate by parts outside a small ball and let the radius shrink; the boundary flux fixes the constant so (1/2)Delta G=-delta_0. Exam use: Checking Green-function constants and fundamental solutions. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	distributional-laplacian,green-function,flux
ch9_exercise_method_exit_time_moment_recursion	Exit-time moment recursion (9.7 Exercises: Poisson equation and exit-time moment recursions)	For m_n(x)=E_x tau^n, the Markov property or Dynkin formula gives (1/2)Delta m_n=-n m_{n-1} with zero boundary values. Exam use: Computing higher moments of Brownian exit times. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	exit-time,moment-recursion,poisson-equation
ch9_exercise_method_second_moment_poisson_system	Second exit-time moment Poisson system (9.7 Exercises: Poisson equation and exit-time moment recursions)	First solve (1/2)Delta v=-1 for v=E tau; then solve (1/2)Delta w=-2v for w=E tau^2, both with zero boundary values. Exam use: Exercise 9.7.1 and second-moment exit-time computations. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	exit-time,second-moment,poisson-equation
ch9_exercise_method_schrodinger_weighted_martingale	Schrodinger weighted martingale (9.8 Exercises: Schrodinger equation, gauge integrability, and exponential exit moments)	For (1/2)Delta u+c u=0, Ito plus the finite-variation product rule makes u(B_t)exp(integral_0^t c(B_s)ds) a local martingale before exit. Exam use: Boundary Feynman-Kac formulas for elliptic equations with potential. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	schrodinger-equation,feynman-kac,martingale
ch9_exercise_method_gauge_integrability_condition	Gauge integrability condition (9.8 Exercises: Schrodinger equation, gauge integrability, and exponential exit moments)	Before applying boundary Feynman-Kac with positive potential, check w(x)=E_x exp(integral_0^tau c(B_s)ds); bounded c alone does not ensure finiteness. Exam use: Avoiding false Schrodinger Feynman-Kac representations. Pitfall: Check boundedness, regularity, exit-time finiteness, boundary regularity, and gauge hypotheses before reusing Chapter 9 Brownian/PDE patterns.	gauge,integrability,positive-potential
