id	front	back	tags
ch9_exercise_method_escape_probability_nonuniqueness	Escape probability is the nonuniqueness direction (proof-template)	When Brownian motion can avoid exiting G, q(x)=P_x(tau=infinity) is a bounded zero-boundary harmonic function; all bounded zero-boundary solutions differ by c q. Use case: Dirichlet problems in domains where exit is not almost sure.	dirichlet-problem,nonuniqueness,escape-probability
ch9_exercise_method_flat_cone_regular_boundary	Flat cone boundary regularity (proof-template)	Use zeros of the perpendicular Brownian coordinate and the induced Cauchy trace on the hyperplane to show Brownian motion immediately hits a flat exterior cone. Use case: Checking regular boundary points under weaker geometric exterior conditions.	regular-boundary,cone-condition,brownian-trace
ch9_exercise_method_recurrent_ball_occupation_infinite	Infinite ball occupation in recurrent dimensions (proof-template)	Use recurrence to get infinitely many returns to a ball and the strong Markov property to sum positive occupation increments. Use case: Occupation-time dichotomy for Brownian motion in d<=2.	occupation-time,recurrence,strong-markov-property
ch9_exercise_method_transient_potential_kernel_gamma	Gamma change of variables for transient potential kernels (calculation-template)	For d>=3, integrate the heat kernel over time and use s=|x-y|^2/(2t) to get Gamma(d/2-1)/(2 pi^{d/2}) |x-y|^{2-d}. Use case: Green-function and expected occupation-density calculations.	potential-kernel,gamma-function,transience
ch9_exercise_method_recurrent_modified_potential_kernel	Modified potential kernels in recurrent dimensions (calculation-template)	Subtract a reference heat kernel before integrating over time; in d=1 this gives -|x-y| and in d=2 gives -(1/pi)log|x-y|. Use case: Using potential kernels when the full-space occupation integral diverges.	potential-kernel,recurrent-dimensions,renormalization
ch9_exercise_method_frullani_log_kernel	Frullani integral for the two-dimensional log kernel (calculation-template)	After u=1/(2t), the difference of two planar heat kernels becomes integral_0^infty (e^{-a^2u}-e^{-u})du/u=-2log a. Use case: Deriving the d=2 logarithmic potential kernel.	frullani,log-kernel,dimension-two
ch9_exercise_method_distributional_delta_normalization	Distributional delta normalization of Green kernels (proof-template)	Integrate by parts outside a small ball and let the radius shrink; the boundary flux fixes the constant so (1/2)Delta G=-delta_0. Use case: Checking Green-function constants and fundamental solutions.	distributional-laplacian,green-function,flux
ch9_exercise_method_exit_time_moment_recursion	Exit-time moment recursion (proof-template)	For m_n(x)=E_x tau^n, the Markov property or Dynkin formula gives (1/2)Delta m_n=-n m_{n-1} with zero boundary values. Use case: Computing higher moments of Brownian exit times.	exit-time,moment-recursion,poisson-equation
ch9_exercise_method_second_moment_poisson_system	Second exit-time moment Poisson system (calculation-template)	First solve (1/2)Delta v=-1 for v=E tau; then solve (1/2)Delta w=-2v for w=E tau^2, both with zero boundary values. Use case: Exercise 9.7.1 and second-moment exit-time computations.	exit-time,second-moment,poisson-equation
ch9_exercise_method_schrodinger_weighted_martingale	Schrodinger weighted martingale (proof-template)	For (1/2)Delta u+c u=0, Ito plus the finite-variation product rule makes u(B_t)exp(integral_0^t c(B_s)ds) a local martingale before exit. Use case: Boundary Feynman-Kac formulas for elliptic equations with potential.	schrodinger-equation,feynman-kac,martingale
ch9_exercise_method_gauge_integrability_condition	Gauge integrability condition (criterion)	Before applying boundary Feynman-Kac with positive potential, check w(x)=E_x exp(integral_0^tau c(B_s)ds); bounded c alone does not ensure finiteness. Use case: Avoiding false Schrodinger Feynman-Kac representations.	gauge,integrability,positive-potential
ch9_exercise_method_interval_eigenvalue_threshold	Interval eigenvalue threshold for exponential exit times (calculation-template)	For tau exiting (-a,a), solve (1/2)u''+gamma u=0 with boundary value one; finiteness holds exactly below gamma=pi^2/(8a^2). Use case: Explicit exponential exit-time moments and gauge blow-up examples.	exit-time,eigenvalue,interval
ch9_exercise_method_finite_gauge_boundary_feynman_kac	Finite-gauge boundary Feynman-Kac uniqueness (proof-template)	Finite bounded gauge controls the terminal exponential weight and kills the tail term, giving u(x)=E_x[f(B_tau)exp(integral_0^tau c(B_s)ds)]. Use case: Uniqueness of bounded Schrodinger Dirichlet solutions.	finite-gauge,dirichlet-problem,feynman-kac
ch9_exercise_method_smooth_schrodinger_local_exit_expansion	Local exit expansion for smooth Schrodinger representations (calculation-template)	Stop at a small ball, expand v(B_sigma) and exp(integral_0^sigma c(B_s)ds), then divide by E sigma to get (1/2)Delta v+c v=0. Use case: Verifying smooth Schrodinger Feynman-Kac formulas solve the PDE.	schrodinger-equation,local-exit,taylor-expansion
